data_year,arrestee_id,incident_id,arrestee_seq_num,arrest_date,arrest_type_id,multiple_indicator,offense_code,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,age_range_low_num,age_range_high_num
2021,44242911,143919822,1,2021-01-04,3,N,23C,22,19,F,20,20,,,,19,
2021,44243066,143920578,1,2021-01-07,1,N,23H,24,21,F,98,10,N,,,21,
2021,44242957,143920134,1,2021-01-17,1,N,23C,47,44,F,10,20,,,,44,
2021,44243067,143920580,1,2021-01-28,3,N,290,35,32,M,10,20,R,,,32,
2021,44242958,143920138,1,2021-01-22,3,N,23C,33,30,F,20,10,,,,30,
2021,44242959,143920146,1,2021-01-26,3,N,290,36,33,M,20,20,N,,,33,
2021,44243443,143922362,1,2021-04-15,3,N,11D,40,37,M,10,20,N,,,37,
2021,44245208,143930163,1,2021-02-02,3,N,240,28,25,F,10,20,N,,,25,
2021,44243078,143920657,1,2021-02-02,3,N,23C,45,42,M,10,20,,,,42,
2021,44245229,143930268,1,2021-02-04,2,N,13C,38,35,M,10,20,R,,,35,
2021,44243079,143920658,2,2021-02-03,1,N,23D,40,37,F,10,20,,,,37,
2021,44243080,143920658,1,2021-02-03,1,N,23C,37,34,M,10,10,,,,34,
2021,44243121,143920793,1,2021-02-09,1,N,23C,57,54,M,20,20,,,,54,
2021,44243123,143920798,1,2021-02-10,3,N,220,54,51,M,20,20,,,,51,
2021,44243124,143920799,1,2021-02-11,3,N,220,35,32,M,10,20,R,,,32,
2021,44243125,143920801,1,2021-02-11,3,N,23C,63,60,M,20,20,,,,60,
2021,44243126,143920807,1,2021-02-17,3,N,290,40,37,M,10,20,R,,,37,
2021,44243883,143924399,1,2021-03-02,3,N,23C,70,67,M,20,20,,,,67,
2021,44243765,143923906,1,2021-03-06,3,N,13B,59,56,M,10,20,N,,,56,
2021,44243824,143924185,1,2021-03-07,3,N,13B,44,41,M,10,20,R,,,41,
2021,44243986,143924836,1,2021-03-09,1,N,26C,44,41,M,20,20,R,,,41,
2021,44243987,143924839,1,2021-03-09,3,N,23C,22,19,F,20,20,,,,19,
2021,44243989,143924843,1,2021-03-09,3,N,23C,64,61,F,10,20,,,,61,
2021,44244062,143925146,1,2021-03-17,3,N,520,35,32,F,10,20,,,,32,
2021,44244063,143925150,1,2021-03-13,1,N,35A,34,31,M,10,20,,,,31,
2021,44244103,143925273,1,2021-03-16,3,N,13C,37,34,M,20,20,R,,,34,
