data_year,property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
2021,143995344,16,50,,
2021,143995486,61,120,,
2021,143995345,19,129,,
2021,143995346,10,,,
2021,143995347,52,0,,
2021,143995349,19,1117,,
2021,143995944,61,1,,
2021,143995945,63,1,,
2021,143995350,1,200,,
2021,143997365,1,1000,,
2021,143995351,19,400,,
2021,143997367,38,20,,
2021,143995352,52,0,,
2021,143995601,1,318,,
2021,143995603,19,228,2021-01-17,
2021,143995604,19,228,,
2021,143995946,63,500,,
2021,143995605,1,200,,
2021,143995605,38,200,,
2021,143995606,38,200,,
2021,143995607,19,124,,
2021,143995609,9,0,,
2021,143995609,20,200,,
2021,143995609,52,0,,
2021,143996003,9,0,,
2021,143996003,20,200,,
2021,143996003,51,0,,
2021,143995610,10,,,
2021,143995611,1,200,,
2021,143995612,29,200,,
2021,143997369,64,2200,,
2021,143995613,10,,,
2021,144003640,3,5000,2021-02-02,
2021,144003641,3,5000,,
2021,143996005,20,3915,,
2021,143996006,19,149,,
2021,143996007,19,1368,2021-02-03,
2021,143996008,10,,,
2021,143996009,19,1368,,
2021,143998976,9,0,,
2021,143998976,20,2106,,
2021,143998976,21,50,,
2021,143998976,25,20,,
2021,143998976,51,0,,
2021,143998976,52,0,,
2021,143998976,63,116,,
2021,143996010,19,315,,
2021,143996011,63,20,,
2021,143996012,10,,,
2021,143997372,9,0,,
2021,143996015,52,0,,
2021,143996117,6,325,,
2021,143996117,48,10,,
2021,143996117,66,100,,
2021,143996118,19,314,,
2021,143996122,52,0,,
2021,143996123,63,15,,
2021,143996125,19,350,2021-02-11,
2021,143996126,19,350,,
2021,143996127,9,0,,
2021,143996127,25,30,,
2021,143996127,51,0,,
2021,143996128,63,2,,
2021,143996130,9,0,,
2021,143996130,20,40,,
2021,143996130,25,30,,
2021,143996130,51,0,,
2021,143997396,10,,,
2021,143996131,61,1000,,
2021,143996132,52,0,,
2021,143998977,60,40,,
2021,143998977,63,675,,
2021,143998980,20,5000,,
2021,144003731,3,500,,
2021,144003731,38,500,,
2021,144003732,2,1,2021-02-24,
2021,144003732,63,1,2021-02-24,
2021,144003733,2,75,,
2021,144003733,63,1,,
2021,144002004,19,438,,
2021,143998982,61,1001,2021-02-28,
2021,143998988,61,800,,
2021,143998990,3,150,,
2021,143998992,19,264,,
2021,143998995,52,0,,
2021,143998997,52,0,,
2021,143997961,63,200,2021-03-03,
2021,143997962,63,200,,
2021,143997967,52,0,,
2021,143998294,52,0,,
2021,147597525,19,1,,
2021,143998297,52,0,,
2021,143998457,52,0,,
2021,143998583,6,300,,
2021,144000574,52,0,,
2021,143999015,9,0,,
2021,143999358,9,0,,
2021,143999358,20,50,,
2021,143999358,25,50,,
2021,143999358,51,0,,
2021,143999360,52,0,,
2021,144001958,9,0,,
2021,143999366,63,70,2021-03-03,
2021,143999373,52,0,,
2021,143999376,52,0,,
2021,143999378,52,0,,
2021,143999381,19,290,,
2021,143999385,19,362,,
2021,143999388,52,0,,
2021,143999392,1,20279,,
2021,147597526,4,110,,
2021,143999398,3,20000,,
2021,143999405,52,0,2021-03-11,
2021,143999406,52,0,,
2021,149542254,38,650,,
2021,143999650,52,0,,
2021,143999660,10,,,
2021,143999756,16,350,,
2021,143999759,10,,,
2021,143999760,8,45,,
2021,143999762,52,0,,
2021,144000576,3,2900,,
2021,143999763,13,1400,,
2021,143999763,48,10,,
2021,143999763,49,45,,
2021,143999763,63,150,,
2021,143999865,52,0,,
2021,144001959,47,0,,
2021,144001960,47,0,2021-03-18,
2021,144001961,47,0,,
2021,144001962,47,0,,
2021,143999866,10,,,
2021,143997329,19,50,,
2021,143997331,10,,,
2021,147597595,3,100,,
2021,143997442,19,116,,
2021,143997454,10,,,
2021,143997460,10,,,
2021,143997462,3,1000,,
2021,143997463,3,1000,,
2021,143997464,10,,,
2021,147597596,20,33600,,
2021,143997633,52,0,,
2021,143997634,52,0,,
2021,147597597,63,100,,
2021,143997970,52,0,,
2021,143997971,10,,,
2021,143997976,29,1,,
2021,143997988,52,0,,
2021,143997989,52,0,,
2021,143997991,52,0,,
2021,143997993,10,,,
2021,144002142,19,105,,
2021,143997995,10,,,
2021,143997998,52,0,,
2021,144002143,20,4200,,
2021,143998134,52,0,,
2021,144000578,19,121,,
2021,144000580,52,0,,
2021,144000582,52,0,,
2021,144000590,38,250,,
2021,144000596,52,0,,
2021,144000694,3,200,,
2021,144000882,19,108,2021-04-08,
2021,144000883,19,108,,
2021,144000884,52,0,,
2021,144000886,63,1550,,
2021,144000887,20,3001,,
2021,144000848,52,0,,
2021,144000850,52,0,,
2021,144000857,52,0,,
2021,144000859,52,0,,
2021,144000863,9,0,,
2021,144000867,52,0,,
2021,149542272,63,20,,
2021,149542273,8,30,,
2021,144000896,52,0,,
2021,144000897,19,1010,,
2021,144000902,31,3440,,
2021,144000902,63,1000,,
2021,144000904,20,3500,,
2021,144000906,52,0,,
2021,144000909,38,600,,
2021,144001033,52,0,,
2021,144001034,28,1000,,
2021,144001037,9,0,,
2021,144001040,52,0,,
2021,144001047,52,0,,
2021,144048977,10,,,
2021,144002144,20,650,,
2021,144001052,52,0,,
2021,144001055,52,0,,
2021,144001057,3,100,,
2021,144001057,30,100,,
2021,147597598,20,10,,
2021,144001185,19,597,,
2021,144001189,52,0,,
2021,144001191,52,0,,
2021,144001194,52,0,,
2021,144001196,52,0,,
2021,144001201,52,0,,
2021,144001170,20,50,,
2021,144001170,47,0,,
2021,144001172,52,0,,
2021,144001173,63,1,,
2021,144001174,8,500,,
2021,144001322,52,0,,
2021,144001324,52,0,,
2021,144001326,52,0,,
2021,144001327,52,0,,
2021,144001329,63,200,,
2021,147597599,19,842,,
2021,144001331,52,0,,
2021,147591442,61,800,,
2021,147591443,9,0,,
2021,147591443,61,815,,
2021,144001334,52,0,,
2021,144002145,52,0,,
2021,144002149,52,0,,
2021,144002150,10,,,
2021,144002151,36,250,2021-05-02,
2021,144002278,19,291,,
2021,144002281,20,1420,,
2021,144002283,52,0,,
2021,144002285,9,0,,
2021,144002286,52,0,,
2021,144002288,19,173,,
2021,144002290,10,104,,
2021,144002291,52,0,,
2021,144002292,63,200,,
2021,144002294,52,0,,
2021,147597600,38,800,,
2021,144002297,63,25,,
2021,144002299,3,200,,
2021,144002300,9,0,,
2021,144002300,20,3523,,
2021,144002300,25,200,,
2021,144002300,51,0,,
2021,144002300,61,400,,
2021,144002302,52,0,,
2021,144002303,20,26000,,
2021,144002305,4,600,2021-05-10,
2021,144002306,4,600,,
2021,144002307,19,1074,2021-05-09,
2021,144002308,19,1074,,
2021,144004907,28,8,,
2021,144002309,19,116,,
2021,144002310,52,0,,
2021,144002448,20,4000,,
2021,144002449,19,279,2021-05-11,
2021,144002450,19,279,,
2021,144017988,9,0,,
2021,144017988,20,60,,
2021,144017988,25,1,,
2021,144017988,47,0,,
2021,144017988,51,0,,
2021,144002452,19,134,,
2021,147597601,20,2235,,
2021,144002455,10,250,,
2021,147597602,29,200,,
2021,144002478,52,0,,
2021,144017989,36,1315,,
2021,144002480,64,2400,,
2021,144002481,1,350,,
2021,144002481,29,50,,
2021,144002483,19,225,,
2021,144002484,20,414,,
2021,144002488,36,400,2021-05-19,
2021,144002489,36,400,,
2021,144002490,9,0,,
2021,144002490,20,537,,
2021,144002491,3,173,,
2021,144002492,10,,,
2021,144002493,50,56,,
2021,144002494,6,20,,
2021,144002494,8,32,,
2021,144002494,27,18,,
2021,144002494,61,159,,
2021,144002497,38,80,,
2021,144002635,20,140,,
2021,144002638,19,198,2021-05-26,
2021,144002639,19,198,,
2021,144002641,63,90,,
2021,144002642,8,100,,
2021,147591444,4,200,,
2021,147591445,38,120,,
2021,147591454,63,175,,
2021,147591455,6,100,,
2021,147591456,3,5000,,
2021,147591457,4,200,,
2021,147591458,17,43495,,
2021,144003263,3,500,,
2021,143991316,20,1802,,
2021,144003264,19,233,,
2021,144003344,3,100,,
2021,144003344,38,100,,
2021,144017990,21,1,,
2021,144017991,20,3795,,
2021,144003345,19,120,,
2021,147597603,61,800,,
2021,144003347,61,1000,2021-06-11,
2021,144003348,61,1000,,
2021,144003349,9,0,2021-06-14,
2021,144003350,52,0,,
2021,144003351,52,0,,
2021,144003353,19,535,,
2021,144003354,20,120,,
2021,144003355,35,1592,,
2021,149542300,47,0,,
2021,149542301,27,1,,
2021,149542302,20,22800,,
2021,144003458,3,300,,
2021,144003459,52,0,,
2021,147597604,1,250,,
2021,144003580,52,0,,
2021,144003581,52,0,,
2021,144003662,63,1,,
2021,147597605,17,10000,,
2021,144003667,19,3381,,
