data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2022,17,162383985,1.000,1,14655332
2022,4,149548325,0.420,1,12823647
2022,17,149548475,0.940,3,12823656
2022,17,151455514,0.100,1,13096531
2022,11,162356678,43.250,1,14653367
2022,2,162373725,22.000,1,14654979
2022,17,151493797,0.100,1,13102554
2022,12,151473054,0.550,1,13099297
2022,8,155185780,9.000,9,13667008
2022,5,155235370,4.000,3,13673095
2022,12,162338416,8.000,9,14652190
2022,12,162336692,0.960,1,14651955
2022,4,162336694,0.500,1,14651956
2022,4,162373726,1.000,1,14654980
2022,17,162398235,63.500,9,14656524
2022,12,162398236,0.200,3,14656525
2022,15,162394657,0.240,1,14656208
2022,12,162394669,0.830,1,14656209
2022,17,162356666,1.000,11,14653366
2022,16,162394956,0.230,3,14656238
2022,12,162523273,0.317,3,14670911
2022,13,162923527,2.000,9,14719744
2022,12,162470046,1.000,1,14665030
2022,17,162380531,1.000,1,14655244
2022,13,162526553,1.000,1,14670985
2022,17,162526736,1.000,1,14671005
2022,17,162525620,2.000,9,14670935
2022,17,162525637,0.000,9,14670940
2022,13,165638670,1.000,11,15097364
2022,8,162922720,1.000,11,14719670
2022,17,162338145,1.000,1,14652159
2022,17,162338146,1.000,1,14652160
2022,16,162395537,1.000,11,14656277
2022,2,162338221,2.000,9,14652175
2022,9,162388973,1.000,9,14655633
2022,2,162388974,15.000,1,14655634
2022,17,162520856,1.000,1,14670740
2022,17,162388976,3.000,1,14655635
2022,5,162336699,1.000,11,14651957
2022,8,162388980,1.000,11,14655636
2022,8,162388982,1.000,11,14655637
2022,2,162388984,1.000,1,14655638
2022,13,162526370,1.000,9,14670970
2022,4,162336686,1.000,1,14651951
2022,2,162336688,6.000,1,14651952
2022,8,162398241,1.000,11,14656526
2022,4,162398243,0.000,9,14656527
2022,17,162336689,1.000,1,14651953
2022,2,162336690,1.000,1,14651954
2022,8,162398244,61.000,9,14656528
2022,4,162395760,2.000,1,14656300
2022,8,162526390,3.000,9,14670971
2022,12,162398245,1.000,1,14656529
2022,8,162398247,2.000,9,14656530
2022,4,162398249,1.000,11,14656531
2022,2,162395807,6.000,9,14656302
2022,2,162393187,7.000,1,14656070
2022,17,162398231,1.000,1,14656520
2022,8,162526451,1.000,9,14670976
2022,12,162526452,1.000,9,14670977
2022,5,165964958,0.000,9,15146594
2022,12,162394337,1.000,1,14656179
2022,17,162923786,1.000,11,14719760
2022,12,162395284,1.000,1,14656247
2022,2,162395287,1.000,9,14656248
2022,12,162395555,1.000,9,14656278
2022,2,162497222,1.000,9,14668568
2022,13,162398232,1.000,11,14656521
2022,2,162522655,9.000,1,14670872
2022,4,162526268,1.000,1,14670966
2022,17,162526291,1.000,1,14670967
2022,13,162398233,1.000,1,14656522
